Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,,,
resultfinal8,1,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978024632,0.007531163,0.085604899,2.225586447,20.83930086,110.5866366,25.44403397,85.14260265,1.215237765,0.279604769,0.935632996,106.7492978,1.173069207,96.53001582,1,58,0.03030303,1,0.96969697,32,0,0,0.983050847,1,0.991452991,0.976351078,0.998955068,0.999410508,0.989010989,0.019314019,0.980685981,0.010989011,0.989197243,0.989010989,0.988635296,0.978800752,0.997110033,0.991840397,0.971509972,0.989010989,0,0,0,0,0,0,50626,142390,40024,98.9010989,33.33333333,?,,,
resultfinal8,1,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,91,0,0,100,0,0,1,0.002102176,0.024348715,0.621228607,5.92735012,110.5866366,0.486491154,110.1001455,1.215237765,0.005346057,1.209891708,110.1001455,1.209891708,99.56008143,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,50626,142390,40024,100,33.6996337,?,,,
resultfinal8,1,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978193146,0.009382491,0.088163981,2.772685254,21.4622732,110.5866366,184.4711732,-73.88453659,1.215237765,2.027155749,-0.811917984,106.3321105,1.168484731,96.15276652,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989010989,0.004395604,0.995604396,0.010989011,0.989417989,0.989010989,0.988692005,0.986367689,0.985337922,0.967353606,0.968069666,0.989010989,0,0,0,0,0,0,50626,142390,40024,98.9010989,33.6996337,?,,,
resultfinal8,1,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.936229853,0.022798537,0.148309213,6.737354161,36.10377863,110.5866366,65.12152195,45.46511466,1.215237765,0.71562112,0.499616645,103.7379229,1.139977174,93.80692462,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,1,1,0.967032967,0.002747253,0.997252747,0.032967033,0.976923077,0.967032967,0.969454484,0.956059096,0.997846476,0.979646972,0.924944587,0.967032967,0,0,0,0,0,0,50626,142390,40024,96.7032967,33.6996337,?,,,
resultfinal8,1,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,85,6,0,93.40659341,6.593406593,0,0.873405982,0.045681502,0.206152591,13.49965821,50.18493024,110.5866366,150.9315935,-40.34495685,1.215237765,1.658588939,-0.443351174,95.33881501,1.047679286,86.21187689,0.965517241,56,0,0,1,33,0.034482759,2,1,0.965517241,0.98245614,0.954119923,0.993207941,0.996519702,0.934065934,0.012454212,0.987545788,0.065934066,0.946373626,0.934065934,0.93818256,0.908071516,0.991625591,0.966051834,0.863433093,0.934065934,0,0,0,0,0,0,50626,142390,40024,93.40659341,34.06593407,?,,,
resultfinal8,1,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956912879,0.01972965,0.128436924,5.830446124,31.2661512,110.5866366,61.74178644,48.84485017,1.215237765,0.67848117,0.536756595,103.4347816,1.136645952,93.53280357,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,0.996865204,0.998383621,0.978021978,0.005311355,0.994688645,0.021978022,0.978428978,0.978021978,0.97807787,0.965709668,0.995325188,0.973400176,0.943193093,0.978021978,0,0,0,0,0,0,50626,142390,40024,97.8021978,34.06593407,?,,,
resultfinal8,1,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,91,0,0,100,0,0,1,5.92E-04,0.003813589,0.175004487,0.928364291,110.5866366,0.118080746,110.4685559,1.215237765,0.001297591,1.213940174,110.4685559,1.213940174,99.89322331,1,58,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,50626,142390,40024,100,33.33333333,?,,,
resultfinal8,1,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978856877,0.008349857,0.086339465,2.451086947,20.86097744,111.7337764,39.54533196,72.18844449,1.227843697,0.434564087,0.79327961,109.4084415,1.202290566,97.91886119,0.98245614,56,0,0,1,34,0.01754386,1,1,0.98245614,0.991150442,0.976926796,0.997936017,0.998849583,0.989010989,9.16E-04,0.999084249,0.010989011,0.990384615,0.989010989,0.989328665,0.980149841,0.997791424,0.980401858,0.974827925,0.989010989,0,0,0,0,0,0,50626,142390,40024,98.9010989,33.6996337,?,,,
resultfinal8,1,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,818,90,90,0,0,100,0,0,1,1.36E-04,9.91E-04,0.040070256,0.240579764,109.9297827,0.026578016,109.9032047,1.22144203,2.95E-04,1.221146719,109.9032047,1.221146719,99.97582273,1,57,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,50626,142531,39883,100,33.33333333,?,,,
resultfinal8,1,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,818,90,88,2,0,97.77777778,2.222222222,0,0.957091776,0.014989733,0.12171105,4.417525182,29.53703981,109.9297827,178.9850505,-69.05526776,1.22144203,1.988722783,-0.767280753,105.4995039,1.17221671,95.96990119,0.98245614,56,0,0,1,33,0.01754386,1,1,0.98245614,0.991150442,0.976504158,0.996810207,0.998329156,0.977777778,0.001874163,0.998125837,0.022222222,0.982716049,0.977777778,0.97900857,0.967306066,0.995346348,0.975917108,0.948847533,0.977777778,0,0,0,0,0,0,50626,142531,39883,97.77777778,33.33333333,?,,,
